/		CG-6 Survey
/		Survey Name:	9347-VG
/		Instrument Serial Number:	000000021080368
/		Created:	2022-10-02 10:10:34
/
/		CG-6 Calibration
/		Operator:	EPR_OAZ
/		Gcal1 [mGal]:	7960.246000
/		Goff [ADU]:	-8388608.000000
/		Gref [mGal]:	0.0000
/		X Scale [arc-sec/ADU]:	0.030952
/		Y Scale [arc-sec/ADU]:	0.031457
/		X Offset [ADU]:	-197728.206053
/		Y Offset [ADU]:	-93683.760089
/		Temperature Coefficient [mGal/mK]:	-0.129000
/		Temperature Scale [mK/ADU]:	-0.000111
/		Drift Rate [mGal/day]:	-0.713690
/		Drift Zero Time:	2021-08-16 18:07:31
/		Firmware Version:	CG6_2_20220815
/
/Station	Date	Time	CorrGrav	Line	StdDev	StdErr	RawGrav	X	Y	SensorTemp	TideCorr	TiltCorr	TempCorr	DriftCorr	MeasurDur	InstrHeight	LatUser	LonUser	ElevUser	LatGPS	LonGPS	ElevGPS	Corrections[drift-temp-na-tide-tilt]
1	2022-10-03	08:40:09	5748.2486	13	0.0152	0.0020	5453.7347	-2.7	-0.2	0.6153	-0.0384	0.0001	0.0797	294.4725	60	0.000	55.839948	48.812679	92.00	--	--	--	11011
1	2022-10-03	08:41:09	5748.2483	13	0.0178	0.0023	5453.7344	-2.1	-1.1	0.6143	-0.0388	0.0001	0.0797	294.4730	60	0.000	55.839948	48.812679	92.00	--	--	--	11011
1	2022-10-03	08:42:09	5748.2484	13	0.0218	0.0028	5453.7343	-3.2	-2.0	0.6142	-0.0392	0.0002	0.0796	294.4735	60	0.000	55.839948	48.812679	92.00	--	--	--	11011
1	2022-10-03	08:43:09	5748.2500	13	0.0125	0.0016	5453.7362	-3.7	-1.6	0.6185	-0.0396	0.0002	0.0792	294.4740	60	0.000	55.839948	48.812679	92.00	--	--	--	11011
1	2022-10-03	08:44:09	5748.2496	13	0.0118	0.0015	5453.7358	-5.1	0.8	0.6089	-0.0400	0.0003	0.0790	294.4745	60	0.000	55.839948	48.812679	92.00	--	--	--	11011
1	2022-10-03	08:45:09	5748.2500	13	0.0161	0.0021	5453.7362	-6.2	0.2	0.6143	-0.0404	0.0004	0.0788	294.4750	60	0.000	55.839948	48.812679	92.00	--	--	--	11011
1	2022-10-03	08:46:09	5748.2510	13	0.0129	0.0017	5453.7374	-5.7	0.8	0.6074	-0.0408	0.0005	0.0785	294.4755	60	0.000	55.839948	48.812679	92.00	--	--	--	11011
1	2022-10-03	08:47:09	5748.2499	13	0.0144	0.0019	5453.7367	-4.0	-0.0	0.6006	-0.0412	0.0002	0.0781	294.4760	60	0.000	55.839948	48.812679	92.00	--	--	--	11011
1	2022-10-03	08:48:09	5748.2505	13	0.0123	0.0016	5453.7376	-4.4	0.5	0.6031	-0.0416	0.0002	0.0778	294.4765	60	0.000	55.839948	48.812679	92.00	--	--	--	11011
1	2022-10-03	08:49:09	5748.2499	13	0.0144	0.0019	5453.7370	-4.4	-0.2	0.5969	-0.0419	0.0003	0.0776	294.4770	60	0.000	55.839948	48.812679	92.00	--	--	--	11011
1	2022-10-03	08:50:09	5748.2499	13	0.0179	0.0023	5453.7371	-4.4	-0.7	0.5953	-0.0423	0.0002	0.0775	294.4775	60	0.000	55.839948	48.812679	92.00	--	--	--	11011
1	2022-10-03	08:51:09	5748.2516	13	0.0155	0.0020	5453.7391	-3.1	0.4	0.5953	-0.0427	0.0001	0.0771	294.4780	60	0.000	55.839948	48.812679	92.00	--	--	--	11011
1	2022-10-03	08:52:09	5748.2508	13	0.0262	0.0034	5453.7384	-3.7	-0.3	0.5988	-0.0431	0.0002	0.0769	294.4785	60	0.000	55.839948	48.812679	92.00	--	--	--	11011
1	2022-10-03	08:53:09	5748.2540	13	0.0153	0.0020	5453.7414	-4.0	1.0	0.5949	-0.0435	0.0002	0.0769	294.4790	60	0.000	55.839948	48.812679	92.00	--	--	--	11011
1	2022-10-03	08:54:09	5748.2547	13	0.0136	0.0018	5453.7421	-4.2	1.2	0.5897	-0.0439	0.0003	0.0766	294.4795	60	0.000	55.839948	48.812679	92.00	--	--	--	11011
3	2022-10-03	08:56:59	5747.9761	13	0.0141	0.0018	5453.4640	0.0	-0.9	0.5932	-0.0450	0.0000	0.0761	294.4809	60	0.000	55.839948	48.812679	92.00	--	--	--	11011
3	2022-10-03	08:57:59	5747.9770	13	0.0157	0.0020	5453.4649	-1.4	-2.4	0.5868	-0.0454	0.0001	0.0760	294.4814	60	0.000	55.839948	48.812679	92.00	--	--	--	11011
3	2022-10-03	08:58:59	5747.9775	13	0.0148	0.0019	5453.4656	-2.0	-2.3	0.5850	-0.0457	0.0001	0.0757	294.4819	60	0.000	55.839948	48.812679	92.00	--	--	--	11011
3	2022-10-03	08:59:59	5747.9791	13	0.0168	0.0022	5453.4671	-2.4	-3.1	0.5842	-0.0461	0.0002	0.0756	294.4824	60	0.000	55.839948	48.812679	92.00	--	--	--	11011
3	2022-10-03	09:00:59	5747.9794	13	0.0158	0.0020	5453.4674	-3.4	-3.3	0.5879	-0.0465	0.0003	0.0754	294.4829	60	0.000	55.839948	48.812679	92.00	--	--	--	11011
3	2022-10-03	09:01:59	5747.9785	13	0.0240	0.0031	5453.4666	-3.1	-3.4	0.5811	-0.0469	0.0002	0.0753	294.4833	60	0.000	55.839948	48.812679	92.00	--	--	--	11011
3	2022-10-03	09:02:59	5747.9789	13	0.0195	0.0025	5453.4667	-4.5	-3.8	0.5779	-0.0473	0.0006	0.0751	294.4838	60	0.000	55.839948	48.812679	92.00	--	--	--	11011
3	2022-10-03	09:03:59	5747.9804	13	0.0133	0.0017	5453.4684	-4.4	-2.4	0.5770	-0.0476	0.0003	0.0750	294.4843	60	0.000	55.839948	48.812679	92.00	--	--	--	11011
3	2022-10-03	09:04:59	5747.9804	13	0.0107	0.0014	5453.4686	-3.4	-2.4	0.5780	-0.0480	0.0002	0.0748	294.4848	60	0.000	55.839948	48.812679	92.00	--	--	--	11011
3	2022-10-03	09:05:59	5747.9821	13	0.0119	0.0015	5453.4703	-3.1	-2.5	0.5810	-0.0484	0.0002	0.0747	294.4853	60	0.000	55.839948	48.812679	92.00	--	--	--	11011
3	2022-10-03	09:06:59	5747.9808	13	0.0169	0.0022	5453.4690	-3.5	-2.6	0.5763	-0.0488	0.0003	0.0745	294.4858	60	0.000	55.839948	48.812679	92.00	--	--	--	11011
3	2022-10-03	09:07:59	5747.9812	13	0.0086	0.0011	5453.4695	-3.4	-1.8	0.5801	-0.0491	0.0002	0.0743	294.4863	60	0.000	55.839948	48.812679	92.00	--	--	--	11011
3	2022-10-03	09:08:59	5747.9814	13	0.0200	0.0026	5453.4696	-2.3	-2.8	0.5804	-0.0495	0.0002	0.0743	294.4868	60	0.000	55.839948	48.812679	92.00	--	--	--	11011
3	2022-10-03	09:09:59	5747.9834	13	0.0179	0.0023	5453.4714	-3.6	-3.4	0.5744	-0.0499	0.0003	0.0742	294.4873	60	0.000	55.839948	48.812679	92.00	--	--	--	11011
3	2022-10-03	09:10:59	5747.9839	13	0.0117	0.0015	5453.4719	-4.3	-3.3	0.5623	-0.0502	0.0004	0.0740	294.4878	60	0.000	55.839948	48.812679	92.00	--	--	--	11011
1	2022-10-03	09:16:42	5748.2647	13	0.0133	0.0017	5453.7523	1.7	-2.1	0.5630	-0.0523	0.0001	0.0739	294.4906	60	0.000	55.839948	48.812679	92.00	--	--	--	11011
1	2022-10-03	09:17:42	5748.2661	13	0.0124	0.0016	5453.7539	1.7	-2.1	0.5679	-0.0527	0.0001	0.0737	294.4911	60	0.000	55.839948	48.812679	92.00	--	--	--	11011
1	2022-10-03	09:18:42	5748.2655	13	0.0151	0.0019	5453.7531	2.7	-2.8	0.5724	-0.0531	0.0002	0.0736	294.4916	60	0.000	55.839948	48.812679	92.00	--	--	--	11011
1	2022-10-03	09:19:42	5748.2655	13	0.0181	0.0023	5453.7533	1.4	-2.3	0.5684	-0.0534	0.0001	0.0734	294.4921	60	0.000	55.839948	48.812679	92.00	--	--	--	11011
1	2022-10-03	09:20:42	5748.2673	13	0.0152	0.0020	5453.7549	1.9	-1.5	0.5640	-0.0538	0.0001	0.0735	294.4926	60	0.000	55.839948	48.812679	92.00	--	--	--	11011
1	2022-10-03	09:21:42	5748.2670	13	0.0156	0.0020	5453.7548	1.6	-1.9	0.5635	-0.0542	0.0001	0.0732	294.4931	60	0.000	55.839948	48.812679	92.00	--	--	--	11011
1	2022-10-03	09:22:42	5748.2677	13	0.0192	0.0025	5453.7553	1.2	-2.5	0.5591	-0.0545	0.0001	0.0732	294.4936	60	0.000	55.839948	48.812679	92.00	--	--	--	11011
1	2022-10-03	09:23:42	5748.2679	13	0.0196	0.0025	5453.7556	2.1	-2.6	0.5660	-0.0549	0.0001	0.0729	294.4941	60	0.000	55.839948	48.812679	92.00	--	--	--	11011
1	2022-10-03	09:24:42	5748.2697	13	0.0178	0.0023	5453.7573	1.8	-2.7	0.5641	-0.0552	0.0001	0.0728	294.4946	60	0.000	55.839948	48.812679	92.00	--	--	--	11011
1	2022-10-03	09:25:42	5748.2708	13	0.0150	0.0019	5453.7584	1.2	-1.3	0.5655	-0.0556	0.0001	0.0728	294.4951	60	0.000	55.839948	48.812679	92.00	--	--	--	11011
1	2022-10-03	09:26:42	5748.2685	13	0.0173	0.0022	5453.7562	1.5	-1.1	0.5687	-0.0559	0.0001	0.0725	294.4956	60	0.000	55.839948	48.812679	92.00	--	--	--	11011
1	2022-10-03	09:27:42	5748.2692	13	0.0130	0.0017	5453.7567	1.8	-2.4	0.5683	-0.0563	0.0001	0.0726	294.4961	60	0.000	55.839948	48.812679	92.00	--	--	--	11011
1	2022-10-03	09:28:42	5748.2693	13	0.0155	0.0020	5453.7570	1.1	-1.4	0.5609	-0.0566	0.0001	0.0723	294.4966	60	0.000	55.839948	48.812679	92.00	--	--	--	11011
1	2022-10-03	09:29:42	5748.2703	13	0.0144	0.0019	5453.7579	-0.1	-2.1	0.5570	-0.0570	0.0001	0.0722	294.4971	60	0.000	55.839948	48.812679	92.00	--	--	--	11011
1	2022-10-03	09:30:42	5748.2709	13	0.0285	0.0037	5453.7583	0.1	-3.5	0.5561	-0.0573	0.0001	0.0723	294.4976	60	0.000	55.839948	48.812679	92.00	--	--	--	11011
3	2022-10-03	09:33:09	5747.9941	13	0.0127	0.0016	5453.4814	-0.1	-0.3	0.5569	-0.0582	0.0000	0.0721	294.4988	60	0.000	55.839948	48.812679	92.00	--	--	--	11011
3	2022-10-03	09:34:09	5747.9946	13	0.0163	0.0021	5453.4816	-0.4	-1.5	0.5549	-0.0585	0.0000	0.0722	294.4993	60	0.000	55.839948	48.812679	92.00	--	--	--	11011
3	2022-10-03	09:35:09	5747.9938	13	0.0138	0.0018	5453.4808	-0.5	-1.1	0.5581	-0.0589	0.0001	0.0721	294.4998	60	0.000	55.839948	48.812679	92.00	--	--	--	11011
3	2022-10-03	09:36:09	5747.9956	13	0.0158	0.0020	5453.4826	-0.9	-1.9	0.5553	-0.0592	0.0001	0.0719	294.5003	60	0.000	55.839948	48.812679	92.00	--	--	--	11011
3	2022-10-03	09:37:09	5747.9965	13	0.0119	0.0015	5453.4833	-0.2	-3.2	0.5547	-0.0596	0.0001	0.0719	294.5008	60	0.000	55.839948	48.812679	92.00	--	--	--	11011
3	2022-10-03	09:38:09	5747.9964	13	0.0126	0.0016	5453.4832	-1.0	-2.7	0.5582	-0.0599	0.0001	0.0717	294.5013	60	0.000	55.839948	48.812679	92.00	--	--	--	11011
3	2022-10-03	09:39:09	5747.9962	13	0.0118	0.0015	5453.4829	-1.6	-0.2	0.5646	-0.0603	0.0001	0.0717	294.5018	60	0.000	55.839948	48.812679	92.00	--	--	--	11011
3	2022-10-03	09:40:09	5747.9976	13	0.0152	0.0020	5453.4841	-2.0	-1.9	0.5575	-0.0606	0.0001	0.0717	294.5023	60	0.000	55.839948	48.812679	92.00	--	--	--	11011
3	2022-10-03	09:41:09	5747.9977	13	0.0161	0.0021	5453.4842	-1.4	-2.4	0.5506	-0.0609	0.0001	0.0716	294.5028	60	0.000	55.839948	48.812679	92.00	--	--	--	11011
3	2022-10-03	09:42:09	5747.9962	13	0.0207	0.0027	5453.4823	-2.2	-2.3	0.5538	-0.0613	0.0002	0.0718	294.5033	60	0.000	55.839948	48.812679	92.00	--	--	--	11011
3	2022-10-03	09:43:09	5747.9977	13	0.0180	0.0023	5453.4838	-2.5	-2.7	0.5543	-0.0616	0.0002	0.0716	294.5037	60	0.000	55.839948	48.812679	92.00	--	--	--	11011
3	2022-10-03	09:44:09	5747.9976	13	0.0167	0.0022	5453.4837	-1.4	-1.4	0.5584	-0.0619	0.0001	0.0715	294.5042	60	0.000	55.839948	48.812679	92.00	--	--	--	11011
3	2022-10-03	09:45:09	5748.0001	13	0.0150	0.0019	5453.4858	-2.3	-1.8	0.5607	-0.0623	0.0002	0.0717	294.5047	60	0.000	55.839948	48.812679	92.00	--	--	--	11011
3	2022-10-03	09:46:09	5748.0009	13	0.0167	0.0022	5453.4865	-2.0	-1.5	0.5526	-0.0626	0.0001	0.0716	294.5052	60	0.000	55.839948	48.812679	92.00	--	--	--	11011
3	2022-10-03	09:47:09	5748.0000	13	0.0183	0.0024	5453.4854	-1.8	-1.2	0.5524	-0.0629	0.0001	0.0716	294.5057	60	0.000	55.839948	48.812679	92.00	--	--	--	11011
1	2022-10-03	09:50:33	5748.2818	13	0.0206	0.0027	5453.7669	0.4	-1.3	0.5503	-0.0641	0.0001	0.0716	294.5074	60	0.000	55.839948	48.812679	92.00	--	--	--	11011
1	2022-10-03	09:51:33	5748.2819	13	0.0208	0.0027	5453.7667	0.3	-1.4	0.5491	-0.0644	0.0001	0.0716	294.5079	60	0.000	55.839948	48.812679	92.00	--	--	--	11011
1	2022-10-03	09:52:33	5748.2803	13	0.0124	0.0016	5453.7650	1.1	-1.3	0.5577	-0.0647	0.0001	0.0715	294.5084	60	0.000	55.839948	48.812679	92.00	--	--	--	11011
1	2022-10-03	09:53:33	5748.2817	13	0.0161	0.0021	5453.7663	-1.1	-0.9	0.5592	-0.0650	0.0001	0.0715	294.5089	60	0.000	55.839948	48.812679	92.00	--	--	--	11011
