/		CG-6 Survey
/		Survey Name:	9347-VG
/		Instrument Serial Number:	000000021080368
/		Created:	2022-10-02 10:10:34
/
/		CG-6 Calibration
/		Operator:	EPR_OAZ
/		Gcal1 [mGal]:	7960.246000
/		Goff [ADU]:	-8388608.000000
/		Gref [mGal]:	0.0000
/		X Scale [arc-sec/ADU]:	0.030952
/		Y Scale [arc-sec/ADU]:	0.031457
/		X Offset [ADU]:	-197728.206053
/		Y Offset [ADU]:	-93683.760089
/		Temperature Coefficient [mGal/mK]:	-0.129000
/		Temperature Scale [mK/ADU]:	-0.000111
/		Drift Rate [mGal/day]:	-0.713690
/		Drift Zero Time:	2021-08-16 18:07:31
/		Firmware Version:	CG6_2_20220815
/
/Station	Date	Time	CorrGrav	Line	StdDev	StdErr	RawGrav	X	Y	SensorTemp	TideCorr	TiltCorr	TempCorr	DriftCorr	MeasurDur	InstrHeight	LatUser	LonUser	ElevUser	LatGPS	LonGPS	ElevGPS	Corrections[drift-temp-na-tide-tilt]
2	2022-10-02	13:13:28	5747.5772	23	0.0129	0.0017	5453.7108	0.2	0.0	0.5488	-0.0982	0.0000	0.0703	293.8943	60	0.000	55.839948	48.812679	92.00	--	--	--	11011
2	2022-10-02	13:14:28	5747.5755	23	0.0106	0.0014	5453.7088	-1.1	-1.0	0.5405	-0.0982	0.0001	0.0701	293.8948	60	0.000	55.839948	48.812679	92.00	--	--	--	11011
2	2022-10-02	13:15:28	5747.5777	23	0.0146	0.0019	5453.7104	-0.4	-2.3	0.5463	-0.0982	0.0001	0.0702	293.8953	60	0.000	55.839948	48.812679	92.00	--	--	--	11011
2	2022-10-02	13:16:28	5747.5773	23	0.0141	0.0018	5453.7096	-1.8	-0.4	0.5415	-0.0983	0.0001	0.0701	293.8958	60	0.000	55.839948	48.812679	92.00	--	--	--	11011
2	2022-10-02	13:17:28	5747.5789	23	0.0086	0.0011	5453.7110	-1.5	-2.1	0.5373	-0.0983	0.0001	0.0699	293.8963	60	0.000	55.839948	48.812679	92.00	--	--	--	11011
2	2022-10-02	13:18:28	5747.5800	23	0.0100	0.0013	5453.7116	-1.4	-1.0	0.5421	-0.0983	0.0001	0.0699	293.8968	60	0.000	55.839948	48.812679	92.00	--	--	--	11011
2	2022-10-02	13:19:28	5747.5791	23	0.0180	0.0023	5453.7102	-1.7	-0.5	0.5427	-0.0984	0.0001	0.0700	293.8973	60	0.000	55.839948	48.812679	92.00	--	--	--	11011
2	2022-10-02	13:20:28	5747.5790	23	0.0156	0.0020	5453.7096	-1.6	-1.4	0.5379	-0.0984	0.0001	0.0700	293.8978	60	0.000	55.839948	48.812679	92.00	--	--	--	11011
2	2022-10-02	13:21:28	5747.5807	23	0.0141	0.0018	5453.7109	-1.2	-1.7	0.5360	-0.0984	0.0001	0.0699	293.8983	60	0.000	55.839948	48.812679	92.00	--	--	--	11011
2	2022-10-02	13:22:28	5747.5818	23	0.0134	0.0017	5453.7117	-2.5	-1.0	0.5396	-0.0985	0.0001	0.0698	293.8988	60	0.000	55.839948	48.812679	92.00	--	--	--	11011
2	2022-10-02	13:23:28	5747.5809	23	0.0157	0.0020	5453.7101	-1.7	1.0	0.5370	-0.0985	0.0001	0.0699	293.8993	60	0.000	55.839948	48.812679	92.00	--	--	--	11011
2	2022-10-02	13:24:28	5747.5832	23	0.0112	0.0014	5453.7120	-0.8	1.4	0.5450	-0.0985	0.0000	0.0699	293.8997	60	0.000	55.839948	48.812679	92.00	--	--	--	11011
2	2022-10-02	13:25:28	5747.5849	23	0.0160	0.0021	5453.7133	-2.0	0.3	0.5427	-0.0985	0.0001	0.0698	293.9002	60	0.000	55.839948	48.812679	92.00	--	--	--	11011
2	2022-10-02	13:26:28	5747.5827	23	0.0135	0.0017	5453.7107	-2.3	0.6	0.5380	-0.0986	0.0001	0.0698	293.9007	60	0.000	55.839948	48.812679	92.00	--	--	--	11011
2	2022-10-02	13:27:28	5747.5841	23	0.0173	0.0022	5453.7117	-2.1	1.2	0.5436	-0.0986	0.0001	0.0697	293.9012	60	0.000	55.839948	48.812679	92.00	--	--	--	11011
3	2022-10-02	13:31:58	5747.4324	23	0.0155	0.0020	5453.5575	-0.4	0.0	0.5425	-0.0987	0.0000	0.0701	293.9035	60	0.000	55.839948	48.812679	92.00	--	--	--	11011
3	2022-10-02	13:32:58	5747.4336	23	0.0138	0.0018	5453.5583	-0.1	-0.6	0.5485	-0.0987	0.0000	0.0700	293.9040	60	0.000	55.839948	48.812679	92.00	--	--	--	11011
3	2022-10-02	13:33:58	5747.4342	23	0.0167	0.0022	5453.5583	-1.0	-0.6	0.5419	-0.0988	0.0000	0.0702	293.9045	60	0.000	55.839948	48.812679	92.00	--	--	--	11011
3	2022-10-02	13:34:58	5747.4339	23	0.0105	0.0014	5453.5576	-1.3	-0.5	0.5389	-0.0988	0.0000	0.0701	293.9050	60	0.000	55.839948	48.812679	92.00	--	--	--	11011
3	2022-10-02	13:35:58	5747.4344	23	0.0134	0.0017	5453.5577	-1.5	-1.4	0.5437	-0.0988	0.0001	0.0700	293.9054	60	0.000	55.839948	48.812679	92.00	--	--	--	11011
3	2022-10-02	13:36:58	5747.4343	23	0.0161	0.0021	5453.5570	-0.8	-1.3	0.5487	-0.0988	0.0000	0.0701	293.9059	60	0.000	55.839948	48.812679	92.00	--	--	--	11011
3	2022-10-02	13:37:58	5747.4351	23	0.0188	0.0024	5453.5576	-1.5	-1.0	0.5452	-0.0989	0.0000	0.0698	293.9064	60	0.000	55.839948	48.812679	92.00	--	--	--	11011
3	2022-10-02	13:38:58	5747.4351	23	0.0222	0.0029	5453.5571	-2.0	-0.8	0.5414	-0.0989	0.0001	0.0698	293.9069	60	0.000	55.839948	48.812679	92.00	--	--	--	11011
3	2022-10-02	13:39:58	5747.4359	23	0.0136	0.0018	5453.5574	-0.8	-1.1	0.5382	-0.0989	0.0000	0.0699	293.9074	60	0.000	55.839948	48.812679	92.00	--	--	--	11011
3	2022-10-02	13:40:58	5747.4367	23	0.0161	0.0021	5453.5576	-0.2	-1.8	0.5432	-0.0989	0.0001	0.0700	293.9079	60	0.000	55.839948	48.812679	92.00	--	--	--	11011
3	2022-10-02	13:41:58	5747.4367	23	0.0185	0.0024	5453.5573	-0.0	-0.6	0.5412	-0.0989	0.0000	0.0699	293.9084	60	0.000	55.839948	48.812679	92.00	--	--	--	11011
3	2022-10-02	13:42:58	5747.4368	23	0.0143	0.0019	5453.5571	-0.8	-2.1	0.5403	-0.0990	0.0001	0.0697	293.9089	60	0.000	55.839948	48.812679	92.00	--	--	--	11011
3	2022-10-02	13:43:58	5747.4380	23	0.0164	0.0021	5453.5576	-0.4	-3.0	0.5370	-0.0990	0.0001	0.0698	293.9094	60	0.000	55.839948	48.812679	92.00	--	--	--	11011
3	2022-10-02	13:44:58	5747.4375	23	0.0106	0.0014	5453.5565	-1.1	-2.4	0.5371	-0.0990	0.0001	0.0700	293.9099	60	0.000	55.839948	48.812679	92.00	--	--	--	11011
3	2022-10-02	13:45:58	5747.4397	23	0.0152	0.0020	5453.5584	-1.3	-2.3	0.5403	-0.0990	0.0001	0.0699	293.9104	60	0.000	55.839948	48.812679	92.00	--	--	--	11011
2	2022-10-02	13:48:14	5747.5941	23	0.0144	0.0019	5453.7114	-2.9	-2.0	0.5364	-0.0990	0.0002	0.0700	293.9115	60	0.000	55.839948	48.812679	92.00	--	--	--	11011
2	2022-10-02	13:49:14	5747.5942	23	0.0081	0.0010	5453.7112	-1.5	0.3	0.5503	-0.0990	0.0000	0.0700	293.9120	60	0.000	55.839948	48.812679	92.00	--	--	--	11011
2	2022-10-02	13:50:14	5747.5932	23	0.0147	0.0019	5453.7097	-1.8	-0.8	0.5416	-0.0991	0.0001	0.0699	293.9125	60	0.000	55.839948	48.812679	92.00	--	--	--	11011
2	2022-10-02	13:51:14	5747.5948	23	0.0142	0.0018	5453.7110	-1.2	-0.8	0.5403	-0.0991	0.0001	0.0698	293.9130	60	0.000	55.839948	48.812679	92.00	--	--	--	11011
2	2022-10-02	13:52:14	5747.5952	23	0.0144	0.0019	5453.7109	-0.8	-1.1	0.5412	-0.0991	0.0001	0.0698	293.9135	60	0.000	55.839948	48.812679	92.00	--	--	--	11011
