# Heights (cm) determined by InSAR and validated by GPS measurements
Benchmark	2009-Dec 2010-Jun	2010-Jun 2011-Mar	2011-Mar 2012-Jun	2012-Jun 2012-Nov	2012-Nov 2015-Sept	2015-Sept 2017-Apr
109YY	1.0	-1.5	8.0	-0.1	6.6	6.3
110YY	1.1	-3.5	12.4	0.8	9.9	9.2
112YY	-1.7	-3.0	2.4	0.3	19.4	17.8
113YY	-1.7	-2.4	1.2	0.6	18.0	16.7
118YY	0.1	-2.5	4.4	1.2	12.5	11.3
131YY	nan	nan	nan	1.3	nan	nan
132YY	0.6	-0.9	0.9	1.8	4.5	5.7
133YY	0.7	-2.1	-0.4	1.9	3.1	5.4
19YY	-0.3	0.7	6.5	-1.1	nan	3.9
203YY	0.7	-0.7	3.8	0.6	6.4	4.6
204YY	0.6	-1.6	4.4	1.1	8.3	7.6
205YY	-0.2	-4.6	10.3	0.6	15.8	15.6
21YY	-0.1	0.5	7.0	-0.8	3.9	5.0
22YY	-0.0	0.3	5.3	-0.2	9.5	9.8
25YY	-0.6	-0.0	1.1	-0.2	5.8	5.7
93YY	0.0	-0.4	2.8	-0.9	1.4	3.1
94YY	0.2	0.3	3.1	-0.4	3.0	2.9
96YY	0.3	0.2	2.4	-0.2	nan	2.8
T3973	-0.3	0.6	0.6	-0.3	nan	1.7
79-508	-0.9	-3.0	9.1	0.1	16.3	16.8
79-509	-0.3	-0.0	4.9	-0.2	9.3	9.7
79-510	-0.5	-0.1	3.7	-0.1	9.0	8.8
79-511	0.2	-0.8	4.5	0.3	nan	4.0
79-515	-0.3	-0.6	0.4	1.0	nan	nan
79-517	0.7	-1.6	0.4	1.9	2.4	5.0
HVO10	-0.2	-2.2	9.6	0.5	13.3	14.3
HVO24	-0.5	nan	0.2	-0.1	nan	0.2
HVO25	-0.3	nan	0.6	-0.1	nan	0.6
HVO26	0.5	-0.1	3.5	0.1	5.9	3.4
HVO27	0.7	-0.5	4.7	0.4	7.1	4.4
HVO28	0.7	-0.6	4.2	0.5	7.1	4.4
HVO29	0.9	-1.2	4.9	0.9	7.2	6.3
HVO31	-0.7	-2.9	3.6	1.0	16.6	15.1
HVO32	-0.6	-3.3	5.6	0.8	17.6	16.1
HVO33	-0.4	-4.0	7.5	0.7	17.1	16.1
HVO34	-0.7	-3.9	9.2	0.2	17.0	17.6
HVO35	-0.9	-3.6	9.4	0.1	16.8	17.6
HVO41	0.5	-5.2	13.0	1.0	13.3	13.2
HVO44	0.9	-4.3	13.2	1.0	11.0	10.6
HVO45	1.1	-2.1	10.5	0.3	9.0	8.2
HVO46	1.2	-2.6	10.1	0.3	7.4	6.8
HVO47	1.3	-3.7	12.5	0.8	9.0	8.2
HVO48	1.3	-4.4	13.4	1.0	9.3	8.3
HVO49	1.3	-4.6	13.4	1.2	9.5	8.5
P1	0.0	-0.0	-0.0	-0.0	-0.0	-0.0
REBAR4	-1.5	-3.0	4.6	0.1	19.7	18.4
82-501	0.9	-5.3	14.0	1.2	11.4	10.9
UWE-G	0.6	-0.4	3.9	0.4	7.1	3.9
HOVL-G	0.2	-5.0	11.9	0.8	14.4	14.3
NOSE	-0.7	-3.3	-1.4	1.9	13.1	12.7
68-15	-0.9	-3.3	-0.6	1.2	7.9	10.8
68-13	-1.3	-2.5	0.6	0.8	11.8	13.7
HVO132	-1.7	-3.1	2.4	0.3	19.5	17.8
HVO26R	0.5	-0.2	3.7	0.2	6.6	3.6
HVO27R	0.7	-0.6	4.8	0.4	7.1	4.4
