DATE	NPIT	AHUP	HOVL	KOSM	MANE	PUHI	OUTL	CRIM	DEVL	BYRL	CNPK	UWEV
2009-12-04	-0.130	-0.065	-0.120	0.035	-0.015	NaN	-0.070	-0.095	NaN	-0.143	-0.030	-0.090
2010-06-09	-0.110	-0.093	-0.115	0.013	-0.018	NaN	-0.098	-0.115	NaN	-0.145	-0.045	-0.085
2011-03-10	-0.180	-0.083	-0.195	0.000	-0.014	NaN	-0.115	-0.145	NaN	-0.140	-0.058	-0.090
2011-04-02	-0.150	-0.100	-0.170	-0.005	-0.015	NaN	-0.120	-0.135	NaN	-0.132	-0.063	-0.080
2012-05-15	-0.050	-0.080	-0.080	-0.033	-0.013	NaN	-0.101	-0.098	NaN	-0.060	-0.066	-0.035
2012-05-20	-0.050	-0.080	-0.080	-0.033	-0.013	NaN	-0.101	-0.098	NaN	-0.060	-0.066	-0.035
2012-10-30	-0.020	-0.075	-0.060	-0.040	-0.015	NaN	-0.103	-0.085	-0.020	-0.037	-0.068	-0.018
2015-09-06	0.065	0.070	0.082	-0.013	0.010	-0.048	0.080	0.081	-0.008	0.075	0.050	0.050
2015-09-09	0.066	0.070	0.082	-0.015	0.010	-0.046	0.078	0.080	-0.005	0.075	0.045	0.050
2015-10-30	0.065	0.070	0.083	-0.003	0.008	-0.045	0.087	0.085	0.000	0.081	0.055	0.052
2017-04-23	0.160	0.205	0.235	0.057	0.035	0.037	0.250	0.260	0.030	0.175	0.148	0.102

