BM	2009-2010	2010-2011	2011-2012	2012-2012	2012-2015	2015-2017
109YY	1.0	-1.5	8.0	-0.2	6.2	6.2
110YY	1.3	-3.7	13.0	0.8	9.8	9.2
112YY	-1.7	-3.0	2.4	0.3	19.1	18.0
113YY	-1.7	-2.2	1.0	0.7	17.8	16.5
118YY	0.1	-2.2	4.3	1.2	12.0	11.3
131YY	-0.3	-0.5	0.4	1.0	nan	5.4
132YY	0.7	-0.7	1.0	1.7	3.8	5.5
133YY	0.8	-1.9	-0.3	1.9	2.8	5.4
19YY	-0.4	0.5	6.5	-1.2	1.4	3.8
203YY	0.8	-0.6	3.7	0.6	5.8	4.5
204YY	0.6	-1.5	4.4	1.1	7.6	7.3
205YY	-0.2	-4.6	10.4	0.6	16.2	16.3
21YY	-0.1	0.5	7.3	-0.8	3.1	5.0
22YY	0.0	0.3	6.7	-0.3	8.8	8.6
25YY	-0.8	-0.2	1.7	-0.0	7.7	7.8
93YY	0.1	0.4	2.3	-0.7	0.9	2.7
94YY	0.0	0.6	2.7	-0.6	1.2	2.5
96YY	0.4	-0.1	1.6	-0.3	3.6	3.3
T3973	-0.3	0.7	0.5	-0.3	3.1	1.7
79-508	-1.0	-2.9	9.4	0.1	16.3	16.9
79-509	-0.1	0.5	4.6	-0.1	8.9	9.1
79-510	-0.7	-0.3	3.7	-0.1	9.2	9.9
79-511	0.2	-0.6	4.5	0.3	1.5	4.2
79-515	-0.0	-0.7	0.7	1.4	4.3	6.6
79-517	0.7	-1.4	0.3	2.0	2.0	4.9
HVO10	-0.2	-1.9	9.7	0.6	12.6	14.8
HVO24	-0.6	0.0	-0.0	-0.0	-0.3	0.5
HVO25	0.3	0.2	0.5	-0.2	3.5	0.6
HVO26	0.4	0.1	3.4	0.0	3.9	3.1
HVO27	0.7	-0.4	4.7	0.4	6.9	4.2
HVO28	0.7	-0.5	4.0	0.6	6.3	4.1
HVO29	0.9	-1.0	4.9	0.9	7.1	6.5
HVO31	-0.8	-2.8	3.5	1.1	16.5	15.3
HVO32	-0.7	-3.2	5.7	0.8	17.6	16.5
HVO33	-0.4	-3.9	7.8	0.8	17.0	16.5
HVO34	-0.8	-3.8	9.5	0.1	17.3	18.0
HVO35	-1.0	-3.4	9.7	-0.1	17.0	18.0
HVO41	0.4	-5.3	13.5	1.0	13.2	13.6
HVO44	1.0	-4.4	13.4	1.0	10.0	10.0
HVO45	1.2	-2.1	10.7	0.3	8.6	8.0
HVO46	1.4	-2.6	10.4	0.4	7.1	6.9
HVO47	1.5	-3.9	13.2	0.9	8.9	8.4
HVO48	1.4	-4.6	14.1	1.2	9.3	8.5
HVO49	1.3	-4.8	14.2	1.3	9.5	8.7
P1	0.0	0.0	0.0	0.0	0.0	0.0
REBAR4	-1.5	-2.9	4.6	0.1	19.4	18.5
82-501	1.1	-5.6	14.9	1.3	11.7	11.5
UWE-G	0.6	-0.3	3.8	0.4	6.2	3.7
HOVL-G	0.0	-5.0	12.1	0.7	14.6	14.9
NOSE	-0.5	-3.3	-1.5	2.1	12.9	12.9
68-15	-0.8	-3.2	-0.7	1.3	7.6	10.9
68-13	-1.3	-2.4	0.7	0.9	12.5	14.0
HVO132	-1.6	-3.1	2.3	0.3	19.3	17.9
HVO26R	0.5	0.0	3.7	0.1	4.1	3.3
HVO27R	0.7	-0.4	4.8	0.4	6.9	4.3
