BM	Latitude	Longitude	Elevation
109YY	19.417113	-155.266275	1079.0
110YY	19.411028	-155.269603	1084.0
112YY	19.386719	-155.280789	1090.0
113YY	19.379911	-155.274623	1064.0
118YY	19.402227	-155.293896	1142.0
131YY	19.366100	-155.246831	1012.0
132YY	19.354582	-155.254715	998.0
133YY	19.345466	-155.265536	984.0
19YY	19.412754	-155.238590	1189.0
203YY	19.416607	-155.295643	1203.0
204YY	19.407403	-155.296423	1152.0
205YY	19.402496	-155.280470	1109.0
21YY	19.411279	-155.249420	1117.0
22YY	19.405053	-155.253171	1133.0
25YY	19.385735	-155.244622	1076.0
93YY	19.432060	-155.273152	1219.0
94YY	19.430979	-155.283120	1226.0
96YY	19.429988	-155.289976	1218.0
T3973	19.429900	-155.258996	1208.0
79-508	19.399275	-155.270991	1112.0
79-509	19.398645	-155.253315	1103.0
79-510	19.393316	-155.250551	1095.0
79-511	19.378190	-155.238114	1036.0
79-515	19.361966	-155.251724	1011.0
79-517	19.342779	-155.271963	968.0
HVO10	19.402179	-155.265820	1120.0
HVO24	19.434770	-155.297829	1208.0
HVO25	19.432464	-155.294342	1210.0
HVO26	19.424714	-155.288315	1228.0
HVO27	19.420370	-155.288860	1242.0
HVO28	19.418723	-155.292509	1223.0
HVO29	19.412817	-155.294781	1179.0
HVO31	19.397550	-155.291230	1117.0
HVO32	19.398837	-155.287717	1117.0
HVO33	19.400495	-155.284450	1121.0
HVO34	19.399668	-155.278192	1110.0
HVO35	19.399147	-155.274922	1110.0
HVO41	19.405666	-155.278271	1096.0
HVO44	19.408744	-155.271070	1087.0
HVO45	19.413503	-155.267049	1080.0
HVO46	19.415745	-155.269578	1080.0
HVO47	19.413319	-155.271885	1085.0
HVO48	19.412788	-155.275552	1091.0
HVO49	19.411697	-155.278537	1100.0
P1	19.437016	-155.301304	1202.0
REBAR4	19.392464	-155.279525	1108.0
82-501	19.408155	-155.277587	1103.0
UWE-G	19.420843	-155.291366	1231.0
HOVL-G	19.404310	-155.279403	1105.0
NOSE	19.383695	-155.301860	1081.0
68-15	19.363910	-155.281270	1025.0
68-13	19.372060	-155.274670	1056.0
HVO132	19.387200	-155.282269	1092.0
HVO26R	19.423698	-155.288421	1234.0
HVO27R	19.420375	-155.288497	1244.0
